Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,174.940002,176.600006,172.100006,172.289993,169.739655,23624000
2018-11-26,174.240005,174.949997,170.259995,174.619995,172.035172,44998500
2018-11-27,171.509995,174.770004,170.880005,174.240005,171.660797,41387400
2018-11-28,176.729996,181.289993,174.929993,180.940002,178.261627,46062500
2018-11-29,182.660004,182.800003,177.699997,179.550003,176.892197,41770000
2018-11-30,180.289993,180.330002,177.029999,178.580002,175.936554,39531500
2018-12-03,184.460007,184.940002,181.210007,184.820007,182.084183,40802500
2018-12-04,180.949997,182.389999,176.270004,176.690002,174.074539,41344300
2018-12-06,171.759995,174.779999,170.419998,174.720001,172.133682,43098400
2018-12-07,173.490005,174.490005,168.300003,168.490005,165.995926,42281600
2018-12-10,165.000000,170.089996,163.330002,169.600006,167.089478,62026000
2018-12-11,171.660004,171.789993,167.000000,168.630005,166.133850,47281700
2018-12-12,170.399994,171.919998,169.020004,169.100006,166.596878,35627700
2018-12-13,170.490005,172.570007,169.550003,170.949997,168.419479,31898600
2018-12-14,169.000000,169.080002,165.279999,165.479996,163.030457,40703700
2018-12-17,165.449997,168.350006,162.729996,163.940002,161.513260,44287900
2018-12-18,165.380005,167.529999,164.389999,166.070007,163.611740,33841500
2018-12-19,166.000000,167.449997,159.089996,160.889999,158.508408,49047300
2018-12-20,160.399994,162.110001,155.300003,156.830002,154.508499,64773000
